"golden","state","num_trusted_judgment","birthplace","date_of_birth","race_ethnicity","religion","sexual_orientation","year_of_award","award","bio_url","movie","person"
"FALSE","finalized","3","Mulhouse, Haut-Rhin, Alsace, France","1902-07-01T00:00:00.000Z","White","Na","Straight","1960","Best Director","http://www.nndb.com/people/463/000032367/","Ben-Hur","William Wyler"
"TRUE","golden","87","Sucha, Galicia, Austria","1906-06-22T00:00:00.000Z","White","Jewish","Straight","1961","Best Director","http://www.nndb.com/people/982/000024910/","The Apartment","Billy Wilder"
"FALSE","finalized","3","Winchester, In","1914-09-10T00:00:00.000Z","White","Na","Straight","1961","Best Director","http://www.nndb.com/people/460/000032364/","West Side Story","Robert Wise"
"FALSE","finalized","3","Croydon, Surrey, England","1908-03-25T00:00:00.000Z","White","Na","Straight","1963","Best Director","http://www.nndb.com/people/462/000032366/","Lawrence of Arabia","David Lean"
"FALSE","finalized","3","Shipley, Yorkshire, England","1928-06-05T00:00:00.000Z","White","Na","Bisexual","1964","Best Director","http://www.nndb.com/people/249/000043120/","Tom Jones","Tony Richardson"
"FALSE","finalized","3","New York City","1899-07-07T00:00:00.000Z","White","Na","Gay","1965","Best Director","http://www.nndb.com/people/373/000041250/","My Fair Lady","George Cukor"
"FALSE","finalized","3","Winchester, In","1914-09-10T00:00:00.000Z","White","Na","Straight","1966","Best Director","http://www.nndb.com/people/460/000032364/","The Sound of Music","Robert Wise"
"FALSE","finalized","3","Vienna, Austria","1907-04-29T00:00:00.000Z","White","Jewish","Straight","1967","Best Director","http://www.nndb.com/people/538/000032442/","A Man for All Seasons","Fred Zinnemann"
"FALSE","finalized","3","Berlin, Germany","1931-11-06T00:00:00.000Z","White","Jewish","Straight","1968","Best Director","http://www.nndb.com/people/455/000023386/","The Graduate","Mike Nichols"
"FALSE","finalized","3","St. Louis Park, Mn","1954-11-29T00:00:00.000Z","White","Jewish","Straight","2008","Best Director","http://www.nndb.com/people/399/000025324/","No Country for Old Men","Joel Coen"
"FALSE","finalized","3","London, England","1906-12-30T00:00:00.000Z","White","Na","Straight","1969","Best Director","http://www.nndb.com/people/290/000064098/","Oliver!","Carol Reed"
"FALSE","finalized","3","London, England","1926-02-16T00:00:00.000Z","White","Na","Gay","1969","Best Director","http://www.nndb.com/people/771/000032675/","Midnight Cowboy","John Schlesinger"
